Sim_index	S	omega_T	omega_P	sigma_e	disp_shape	disp_scale	seed	divergence_factor	max_species	max_coex_sp	start_species	init_ab	grid_cell_distance
Simulation_71	1.291	0.776	0.193	0.031	1.966	0.995	71	0.05	12000	1000	1	500	111
Simulation_72	1.417	0.216	0.083	0.076	2.123	0.938	72	0.05	12000	1000	1	500	111
Simulation_73	2.422	0.714	0.208	0.149	0.868	0.485	73	0.05	12000	1000	1	500	111
Simulation_74	2.925	0.465	0.271	0.04	1.495	0.712	74	0.05	12000	1000	1	500	111
Simulation_75	1.919	0.963	0.146	0.113	2.75	0.259	75	0.05	12000	1000	1	500	111
Simulation_76	1.668	0.341	0.177	0.058	1.181	0.146	76	0.05	12000	1000	1	500	111
Simulation_77	2.674	0.839	0.051	0.131	2.436	0.599	77	0.05	12000	1000	1	500	111
Simulation_78	2.171	0.092	0.114	0.022	1.809	0.372	78	0.05	12000	1000	1	500	111
Simulation_79	1.165	0.59	0.24	0.095	0.554	0.825	79	0.05	12000	1000	1	500	111
Simulation_80	1.228	0.123	0.216	0.099	1.73	0.57	80	0.05	12000	1000	1	500	111
Simulation_81	2.234	0.621	0.091	0.026	2.985	0.118	81	0.05	12000	1000	1	500	111
Simulation_82	2.737	0.372	0.153	0.136	2.358	0.797	82	0.05	12000	1000	1	500	111
Simulation_83	1.731	0.87	0.279	0.063	1.103	0.344	83	0.05	12000	1000	1	500	111
Simulation_84	1.982	0.496	0.059	0.081	2.044	0.457	84	0.05	12000	1000	1	500	111
Simulation_85	2.988	0.994	0.185	0.008	0.789	0.91	85	0.05	12000	1000	1	500	111
Simulation_86	2.485	0.247	0.248	0.117	1.417	0.231	86	0.05	12000	1000	1	500	111
Simulation_87	1.479	0.745	0.122	0.045	2.672	0.683	87	0.05	12000	1000	1	500	111
Simulation_88	1.354	0.31	0.295	0.017	2.828	0.74	88	0.05	12000	1000	1	500	111
Simulation_89	2.36	0.807	0.169	0.09	1.574	0.287	89	0.05	12000	1000	1	500	111
Simulation_90	2.862	0.061	0.106	0.054	0.946	0.966	90	0.05	12000	1000	1	500	111
Simulation_91	1.857	0.558	0.232	0.126	2.201	0.514	91	0.05	12000	1000	1	500	111
Simulation_92	1.605	0.185	0.138	0.035	0.632	0.401	92	0.05	12000	1000	1	500	111
Simulation_93	2.611	0.683	0.263	0.108	1.887	0.853	93	0.05	12000	1000	1	500	111
Simulation_94	2.108	0.434	0.2	0.072	2.515	0.174	94	0.05	12000	1000	1	500	111
Simulation_95	1.102	0.932	0.075	0.145	1.26	0.627	95	0.05	12000	1000	1	500	111
Simulation_96	1.071	0.138	0.283	0.056	1.77	0.528	96	0.05	12000	1000	1	500	111
Simulation_97	2.077	0.636	0.157	0.129	0.515	0.981	97	0.05	12000	1000	1	500	111
Simulation_98	2.58	0.387	0.095	0.02	1.142	0.302	98	0.05	12000	1000	1	500	111
Simulation_99	1.574	0.885	0.22	0.092	2.397	0.754	99	0.05	12000	1000	1	500	111
Simulation_100	1.825	0.263	0.126	0.074	1.456	0.641	100	0.05	12000	1000	1	500	111
Simulation_101	2.831	0.761	0.251	0.147	2.711	0.188	101	0.05	12000	1000	1	500	111
Simulation_102	2.328	0.014	0.189	0.038	2.083	0.867	102	0.05	12000	1000	1	500	111
Simulation_103	1.322	0.512	0.063	0.11	0.828	0.415	103	0.05	12000	1000	1	500	111
Simulation_104	1.448	0.45	0.236	0.138	0.672	0.358	104	0.05	12000	1000	1	500	111
Simulation_105	2.454	0.947	0.11	0.065	1.926	0.811	105	0.05	12000	1000	1	500	111
Simulation_106	2.957	0.201	0.173	0.101	2.554	0.132	106	0.05	12000	1000	1	500	111
Simulation_107	1.951	0.699	0.299	0.029	1.299	0.584	107	0.05	12000	1000	1	500	111
Simulation_108	1.699	0.076	0.079	0.12	2.868	0.698	108	0.05	12000	1000	1	500	111
Simulation_109	2.705	0.574	0.204	0.047	1.613	0.245	109	0.05	12000	1000	1	500	111
Simulation_110	2.202	0.325	0.267	0.083	0.985	0.924	110	0.05	12000	1000	1	500	111
Simulation_111	1.196	0.823	0.142	0.01	2.24	0.471	111	0.05	12000	1000	1	500	111
Simulation_112	1.134	0.356	0.102	0.033	2.475	0.217	112	0.05	12000	1000	1	500	111
Simulation_113	2.139	0.854	0.228	0.106	1.221	0.669	113	0.05	12000	1000	1	500	111
Simulation_114	2.642	0.107	0.291	0.07	0.593	0.443	114	0.05	12000	1000	1	500	111
Simulation_115	1.637	0.605	0.165	0.142	1.848	0.896	115	0.05	12000	1000	1	500	111
Simulation_116	1.888	0.232	0.197	0.015	0.907	0.783	116	0.05	12000	1000	1	500	111
Simulation_117	2.894	0.73	0.071	0.088	2.162	0.33	117	0.05	12000	1000	1	500	111
Simulation_118	2.391	0.481	0.134	0.051	2.789	0.556	118	0.05	12000	1000	1	500	111
Simulation_119	1.385	0.979	0.259	0.124	1.534	0.104	119	0.05	12000	1000	1	500	111
Simulation_120	1.259	0.045	0.15	0.079	1.377	0.16	120	0.05	12000	1000	1	500	111
Simulation_121	2.265	0.543	0.275	0.006	2.632	0.613	121	0.05	12000	1000	1	500	111
Simulation_122	2.768	0.294	0.212	0.115	2.005	0.386	122	0.05	12000	1000	1	500	111
Simulation_123	1.762	0.792	0.087	0.042	0.75	0.839	123	0.05	12000	1000	1	500	111
Simulation_124	1.511	0.418	0.244	0.097	2.319	0.952	124	0.05	12000	1000	1	500	111
Simulation_125	2.517	0.916	0.118	0.024	1.064	0.5	125	0.05	12000	1000	1	500	111
Simulation_126	2.014	0.169	0.055	0.133	1.691	0.726	126	0.05	12000	1000	1	500	111
Simulation_127	1.008	0.667	0.181	0.06	2.946	0.273	127	0.05	12000	1000	1	500	111
Simulation_128	1.016	0.337	0.247	0.142	1.662	0.475	128	0.05	12000	1000	1	500	111
Simulation_129	2.022	0.835	0.121	0.069	2.917	0.928	129	0.05	12000	1000	1	500	111
Simulation_130	2.525	0.088	0.058	0.105	2.289	0.249	130	0.05	12000	1000	1	500	111
Simulation_131	1.519	0.586	0.184	0.033	1.034	0.701	131	0.05	12000	1000	1	500	111
Simulation_132	1.77	0.212	0.152	0.124	1.975	0.588	132	0.05	12000	1000	1	500	111
Simulation_133	2.776	0.71	0.278	0.051	0.721	0.135	133	0.05	12000	1000	1	500	111
Simulation_134	2.273	0.461	0.215	0.087	1.348	0.814	134	0.05	12000	1000	1	500	111
Simulation_135	1.267	0.959	0.09	0.014	2.603	0.362	135	0.05	12000	1000	1	500	111
Simulation_136	1.393	0.026	0.2	0.042	2.76	0.418	136	0.05	12000	1000	1	500	111
Simulation_137	2.399	0.523	0.074	0.114	1.505	0.871	137	0.05	12000	1000	1	500	111
Simulation_138	2.902	0.275	0.137	0.005	0.877	0.192	138	0.05	12000	1000	1	500	111
Simulation_139	1.896	0.772	0.262	0.078	2.132	0.645	139	0.05	12000	1000	1	500	111
Simulation_140	1.644	0.399	0.105	0.06	0.564	0.758	140	0.05	12000	1000	1	500	111
Simulation_141	2.65	0.897	0.231	0.133	1.819	0.305	141	0.05	12000	1000	1	500	111
Simulation_142	2.147	0.15	0.294	0.023	2.446	0.984	142	0.05	12000	1000	1	500	111
Simulation_143	1.141	0.648	0.168	0.096	1.191	0.531	143	0.05	12000	1000	1	500	111
Simulation_144	1.204	0.181	0.066	0.092	1.113	0.277	144	0.05	12000	1000	1	500	111
Simulation_145	2.21	0.679	0.192	0.019	2.368	0.729	145	0.05	12000	1000	1	500	111
Simulation_146	2.713	0.43	0.254	0.128	2.995	0.503	146	0.05	12000	1000	1	500	111
Simulation_147	1.707	0.928	0.129	0.055	1.74	0.956	147	0.05	12000	1000	1	500	111
Simulation_148	1.959	0.306	0.223	0.11	2.681	0.843	148	0.05	12000	1000	1	500	111
Simulation_149	2.965	0.804	0.098	0.037	1.426	0.39	149	0.05	12000	1000	1	500	111
Simulation_150	2.462	0.057	0.16	0.146	0.799	0.616	150	0.05	12000	1000	1	500	111
Simulation_151	1.456	0.555	0.286	0.074	2.054	0.164	151	0.05	12000	1000	1	500	111
Simulation_152	1.33	0.492	0.113	0.028	2.211	0.107	152	0.05	12000	1000	1	500	111
Simulation_153	2.336	0.99	0.239	0.101	0.956	0.56	153	0.05	12000	1000	1	500	111
Simulation_154	2.839	0.243	0.176	0.064	1.583	0.333	154	0.05	12000	1000	1	500	111
Simulation_155	1.833	0.741	0.05	0.137	2.838	0.786	155	0.05	12000	1000	1	500	111
Simulation_156	1.582	0.119	0.27	0.01	1.27	0.899	156	0.05	12000	1000	1	500	111
Simulation_157	2.587	0.617	0.145	0.083	2.525	0.447	157	0.05	12000	1000	1	500	111
Simulation_158	2.084	0.368	0.082	0.046	1.897	0.673	158	0.05	12000	1000	1	500	111
Simulation_159	1.079	0.866	0.207	0.119	0.642	0.22	159	0.05	12000	1000	1	500	111
Simulation_160	1.11	0.072	0.133	0.062	2.407	0.828	160	0.05	12000	1000	1	500	111
Simulation_161	2.116	0.57	0.258	0.135	1.152	0.376	161	0.05	12000	1000	1	500	111
Simulation_162	2.619	0.321	0.196	0.026	0.525	0.602	162	0.05	12000	1000	1	500	111
Simulation_163	1.613	0.819	0.07	0.099	1.779	0.15	163	0.05	12000	1000	1	500	111
Simulation_164	1.864	0.446	0.29	0.044	0.838	0.263	164	0.05	12000	1000	1	500	111
Simulation_165	2.87	0.944	0.164	0.117	2.093	0.715	165	0.05	12000	1000	1	500	111
Simulation_166	2.367	0.197	0.101	0.008	2.721	0.489	166	0.05	12000	1000	1	500	111
Simulation_167	1.361	0.695	0.227	0.08	1.466	0.942	167	0.05	12000	1000	1	500	111
Simulation_168	1.487	0.259	0.054	0.126	1.309	0.998	168	0.05	12000	1000	1	500	111
Simulation_169	2.493	0.757	0.18	0.053	2.564	0.546	169	0.05	12000	1000	1	500	111
Simulation_170	2.996	0.01	0.243	0.089	1.936	0.772	170	0.05	12000	1000	1	500	111
Simulation_171	1.99	0.508	0.117	0.017	0.681	0.319	171	0.05	12000	1000	1	500	111
Simulation_172	1.739	0.134	0.211	0.144	2.25	0.206	172	0.05	12000	1000	1	500	111
Simulation_173	2.745	0.632	0.086	0.071	0.995	0.659	173	0.05	12000	1000	1	500	111
Simulation_174	2.242	0.383	0.149	0.108	1.623	0.432	174	0.05	12000	1000	1	500	111
Simulation_175	1.236	0.881	0.274	0.035	2.877	0.885	175	0.05	12000	1000	1	500	111
Simulation_176	1.173	0.415	0.188	0.012	1.858	0.63	176	0.05	12000	1000	1	500	111
Simulation_177	2.179	0.912	0.062	0.085	0.603	0.178	177	0.05	12000	1000	1	500	111
Simulation_178	2.682	0.166	0.125	0.048	1.23	0.857	178	0.05	12000	1000	1	500	111
Simulation_179	1.676	0.664	0.25	0.121	2.485	0.404	179	0.05	12000	1000	1	500	111
Simulation_180	1.927	0.041	0.094	0.03	1.544	0.517	180	0.05	12000	1000	1	500	111
Simulation_181	2.933	0.539	0.219	0.103	2.799	0.97	181	0.05	12000	1000	1	500	111
Simulation_182	2.43	0.29	0.282	0.067	2.172	0.291	182	0.05	12000	1000	1	500	111
Simulation_183	1.424	0.788	0.156	0.139	0.917	0.744	183	0.05	12000	1000	1	500	111
Simulation_184	1.299	0.228	0.266	0.112	0.76	0.687	184	0.05	12000	1000	1	500	111
Simulation_185	2.305	0.726	0.141	0.039	2.015	0.234	185	0.05	12000	1000	1	500	111
Simulation_186	2.807	0.477	0.078	0.149	2.642	0.913	186	0.05	12000	1000	1	500	111
Simulation_187	1.802	0.975	0.203	0.076	1.387	0.461	187	0.05	12000	1000	1	500	111
Simulation_188	1.55	0.352	0.172	0.094	2.956	0.348	188	0.05	12000	1000	1	500	111
Simulation_189	2.556	0.85	0.298	0.021	1.701	0.8	189	0.05	12000	1000	1	500	111
Simulation_190	2.053	0.103	0.235	0.13	1.074	0.121	190	0.05	12000	1000	1	500	111
Simulation_191	1.047	0.601	0.109	0.058	2.328	0.574	191	0.05	12000	1000	1	500	111
Simulation_192	1.031	0.204	0.233	0.041	1.132	0.737	192	0.05	12000	1000	1	500	111
Simulation_193	2.037	0.702	0.107	0.113	2.387	0.284	193	0.05	12000	1000	1	500	111
Simulation_194	2.54	0.453	0.17	0.077	1.76	0.963	194	0.05	12000	1000	1	500	111
Simulation_195	1.534	0.951	0.296	0.15	0.505	0.51	195	0.05	12000	1000	1	500	111
Simulation_196	1.786	0.329	0.076	0.022	2.074	0.397	196	0.05	12000	1000	1	500	111
Simulation_197	2.792	0.827	0.201	0.095	0.819	0.85	197	0.05	12000	1000	1	500	111
Simulation_198	2.289	0.08	0.264	0.059	1.446	0.171	198	0.05	12000	1000	1	500	111
Simulation_199	1.283	0.578	0.139	0.132	2.701	0.623	199	0.05	12000	1000	1	500	111
Simulation_200	1.409	0.391	0.28	0.086	2.544	0.567	200	0.05	12000	1000	1	500	111
Simulation_201	2.415	0.889	0.154	0.013	1.289	0.114	201	0.05	12000	1000	1	500	111
Simulation_202	2.917	0.142	0.092	0.122	0.662	0.793	202	0.05	12000	1000	1	500	111
Simulation_203	1.912	0.64	0.217	0.05	1.917	0.34	203	0.05	12000	1000	1	500	111
Simulation_204	1.66	0.018	0.123	0.104	0.975	0.454	204	0.05	12000	1000	1	500	111
Simulation_205	2.666	0.516	0.249	0.031	2.23	0.906	205	0.05	12000	1000	1	500	111
Simulation_206	2.163	0.267	0.186	0.141	2.858	0.227	206	0.05	12000	1000	1	500	111
Simulation_207	1.157	0.765	0.06	0.068	1.603	0.68	207	0.05	12000	1000	1	500	111
Simulation_208	1.22	0.298	0.147	0.054	0.583	0.935	208	0.05	12000	1000	1	500	111
Simulation_209	2.226	0.796	0.272	0.127	1.838	0.482	209	0.05	12000	1000	1	500	111
Simulation_210	2.729	0.049	0.209	0.018	2.466	0.708	210	0.05	12000	1000	1	500	111
Simulation_211	1.723	0.547	0.084	0.091	1.211	0.256	211	0.05	12000	1000	1	500	111
Simulation_212	1.974	0.173	0.241	0.072	2.779	0.142	212	0.05	12000	1000	1	500	111
Simulation_213	2.98	0.671	0.115	0.145	1.525	0.595	213	0.05	12000	1000	1	500	111
Simulation_214	2.477	0.422	0.052	0.036	0.897	0.369	214	0.05	12000	1000	1	500	111
Simulation_215	1.472	0.92	0.178	0.109	2.152	0.821	215	0.05	12000	1000	1	500	111
Simulation_216	1.346	0.111	0.1	0.136	1.995	0.878	216	0.05	12000	1000	1	500	111
Simulation_217	2.352	0.609	0.225	0.063	0.74	0.425	217	0.05	12000	1000	1	500	111
Simulation_218	2.855	0.36	0.288	0.1	1.368	0.652	218	0.05	12000	1000	1	500	111
Simulation_219	1.849	0.858	0.162	0.027	2.623	0.199	219	0.05	12000	1000	1	500	111
Simulation_220	1.597	0.485	0.194	0.118	1.681	0.312	220	0.05	12000	1000	1	500	111
Simulation_221	2.603	0.982	0.068	0.045	2.936	0.765	221	0.05	12000	1000	1	500	111
Simulation_222	2.1	0.236	0.131	0.081	2.309	0.539	222	0.05	12000	1000	1	500	111
Simulation_223	1.094	0.734	0.256	0.009	1.054	0.991	223	0.05	12000	1000	1	500	111
Simulation_224	1.063	0.469	0.088	0.102	2.897	0.157	224	0.05	12000	1000	1	500	111
Simulation_225	2.069	0.967	0.213	0.029	1.642	0.609	225	0.05	12000	1000	1	500	111
Simulation_226	2.572	0.22	0.276	0.138	1.015	0.383	226	0.05	12000	1000	1	500	111
Simulation_227	1.566	0.718	0.15	0.066	2.27	0.836	227	0.05	12000	1000	1	500	111
Simulation_228	1.817	0.096	0.182	0.084	0.701	0.949	228	0.05	12000	1000	1	500	111
Simulation_229	2.823	0.593	0.056	0.011	1.956	0.496	229	0.05	12000	1000	1	500	111
Simulation_230	2.32	0.345	0.119	0.12	2.583	0.722	230	0.05	12000	1000	1	500	111
Simulation_231	1.314	0.842	0.245	0.047	1.328	0.27	231	0.05	12000	1000	1	500	111
Simulation_232	1.44	0.158	0.166	0.02	1.485	0.213	232	0.05	12000	1000	1	500	111
Simulation_233	2.446	0.656	0.292	0.093	2.74	0.666	233	0.05	12000	1000	1	500	111
Simulation_234	2.949	0.407	0.229	0.056	2.113	0.439	234	0.05	12000	1000	1	500	111
Simulation_235	1.943	0.905	0.103	0.129	0.858	0.892	235	0.05	12000	1000	1	500	111
Simulation_236	1.692	0.282	0.26	0.038	1.799	0.779	236	0.05	12000	1000	1	500	111
Simulation_237	2.697	0.78	0.135	0.111	0.544	0.326	237	0.05	12000	1000	1	500	111
Simulation_238	2.194	0.033	0.072	0.075	1.172	0.553	238	0.05	12000	1000	1	500	111
Simulation_239	1.189	0.531	0.198	0.147	2.426	0.1	239	0.05	12000	1000	1	500	111
Simulation_240	1.126	0.064	0.3	0.116	2.348	0.355	240	0.05	12000	1000	1	500	111
Simulation_241	2.132	0.562	0.174	0.043	1.093	0.807	241	0.05	12000	1000	1	500	111
Simulation_242	2.635	0.313	0.111	0.079	1.721	0.128	242	0.05	12000	1000	1	500	111
Simulation_243	1.629	0.811	0.237	0.006	2.975	0.581	243	0.05	12000	1000	1	500	111
Simulation_244	1.88	0.438	0.143	0.134	1.407	0.694	244	0.05	12000	1000	1	500	111
Simulation_245	2.886	0.936	0.268	0.061	2.662	0.241	245	0.05	12000	1000	1	500	111
Simulation_246	2.383	0.189	0.205	0.097	2.034	0.92	246	0.05	12000	1000	1	500	111
Simulation_247	1.377	0.687	0.08	0.025	0.779	0.468	247	0.05	12000	1000	1	500	111
Simulation_248	1.251	0.376	0.221	0.07	0.936	0.524	248	0.05	12000	1000	1	500	111
Simulation_249	2.257	0.874	0.096	0.143	2.191	0.977	249	0.05	12000	1000	1	500	111
Simulation_250	2.76	0.127	0.158	0.034	2.819	0.298	250	0.05	12000	1000	1	500	111
Simulation_251	1.754	0.625	0.284	0.106	1.564	0.751	251	0.05	12000	1000	1	500	111
Simulation_252	1.503	0.251	0.064	0.052	2.505	0.638	252	0.05	12000	1000	1	500	111
Simulation_253	2.509	0.749	0.19	0.125	1.25	0.185	253	0.05	12000	1000	1	500	111
Simulation_254	2.006	0.5	0.252	0.016	0.623	0.864	254	0.05	12000	1000	1	500	111
Simulation_255	1	0.998	0.127	0.088	1.877	0.411	255	0.05	12000	1000	1	500	111
Simulation_256	1.004	0.502	0.214	0.046	2.588	0.979	256	0.05	12000	1000	1	500	111
Simulation_257	2.01	1	0.088	0.119	1.333	0.526	257	0.05	12000	1000	1	500	111
Simulation_258	2.513	0.253	0.151	0.01	0.706	0.752	258	0.05	12000	1000	1	500	111
Simulation_259	1.507	0.751	0.276	0.082	1.961	0.3	259	0.05	12000	1000	1	500	111
Simulation_260	1.758	0.129	0.057	0.064	1.02	0.187	260	0.05	12000	1000	1	500	111
Simulation_261	2.764	0.627	0.182	0.137	2.275	0.639	261	0.05	12000	1000	1	500	111
Simulation_262	2.261	0.378	0.245	0.028	2.902	0.413	262	0.05	12000	1000	1	500	111
Simulation_263	1.255	0.876	0.12	0.101	1.647	0.866	263	0.05	12000	1000	1	500	111
Simulation_264	1.381	0.191	0.292	0.146	1.176	0.809	264	0.05	12000	1000	1	500	111
Simulation_265	2.387	0.689	0.167	0.073	2.431	0.356	265	0.05	12000	1000	1	500	111
Simulation_266	2.89	0.44	0.104	0.11	1.804	0.583	266	0.05	12000	1000	1	500	111
Simulation_267	1.884	0.938	0.229	0.037	0.549	0.13	267	0.05	12000	1000	1	500	111
Simulation_268	1.633	0.315	0.135	0.128	2.118	0.243	268	0.05	12000	1000	1	500	111
Simulation_269	2.639	0.813	0.261	0.055	0.863	0.696	269	0.05	12000	1000	1	500	111
Simulation_270	2.136	0.066	0.198	0.091	1.49	0.47	270	0.05	12000	1000	1	500	111
Simulation_271	1.13	0.564	0.073	0.019	2.745	0.922	271	0.05	12000	1000	1	500	111
Simulation_272	1.193	0.035	0.175	0.023	2.039	0.668	272	0.05	12000	1000	1	500	111
Simulation_273	2.198	0.533	0.3	0.096	0.784	0.215	273	0.05	12000	1000	1	500	111
Simulation_274	2.701	0.284	0.237	0.06	1.412	0.894	274	0.05	12000	1000	1	500	111
Simulation_275	1.695	0.782	0.112	0.132	2.667	0.441	275	0.05	12000	1000	1	500	111
Simulation_276	1.947	0.409	0.269	0.005	1.725	0.328	276	0.05	12000	1000	1	500	111
Simulation_277	2.953	0.907	0.143	0.078	2.98	0.781	277	0.05	12000	1000	1	500	111
Simulation_278	2.45	0.16	0.08	0.041	2.353	0.102	278	0.05	12000	1000	1	500	111
Simulation_279	1.444	0.658	0.206	0.114	1.098	0.554	279	0.05	12000	1000	1	500	111
Simulation_280	1.318	0.346	0.096	0.087	0.627	0.611	280	0.05	12000	1000	1	500	111
Simulation_281	2.324	0.844	0.222	0.014	1.882	0.158	281	0.05	12000	1000	1	500	111
Simulation_282	2.827	0.098	0.284	0.123	2.51	0.837	282	0.05	12000	1000	1	500	111
