"Sim_index" "S" "omega_T" "omega_P" "sigma_e" "disp_shape" "disp_scale" "seed" "divergence_factor" "max_species" "max_coex_sp" "start_species" "init_ab" "grid_cell_distance" "finished" "final_timestep" "initial_nb_species" "final_nb_species" "sp_events" "ex_events" "exchanged" "prop_col_area" "div_col" "dist_to_isthmus"
"25" "Simulation_25" 2.312 0.069 0.214 0.055 1.358 0.917 25 0.05 12000 1000 1 500 111 1 0 1 15 15 0 1 0.107406219942289 11 4275.66060322677
"26" "Simulation_26" 2.815 0.046 0.15 0.091 0.73 0.238 26 0.05 12000 1000 1 500 111 1 0 1 70 70 0 0 -1 -1 5225.19066209215
"27" "Simulation_27" 1.809 0.092 0.278 0.018 1.985 0.691 27 0.05 12000 1000 1 500 111 1 0 1 38 40 2 1 0.103238217377365 8 4343.78671754821
"28" "Simulation_28" 1.558 0.035 0.119 0.146 1.044 0.577 28 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 2905.12696982375
"29" "Simulation_29" 2.564 0.08 0.244 0.073 2.299 0.125 29 0.05 12000 1000 1 500 111 1 0 1 1 1 0 1 -1 -1 2212.58021461971
"30" "Simulation_30" 2.061 0.012 0.056 0.109 2.926 0.804 30 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 5896.98950468707
"31" "Simulation_31" 1.055 0.058 0.183 0.037 1.672 0.351 31 0.05 12000 1000 1 500 111 0 85 1 4175 4175 0 0 -1 -1 7662.46895107446
"32" "Simulation_32" 1.086 0.034 0.117 0.089 2.26 0.676 32 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 2388.63769032069
"33" "Simulation_33" 2.092 0.079 0.242 0.016 1.005 0.224 33 0.05 12000 1000 1 500 111 1 0 1 141 141 0 1 0.126643154857326 87 3373.96630174083
"34" "Simulation_34" 2.595 0.011 0.053 0.125 1.632 0.903 34 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 3937.2633314581
"35" "Simulation_35" 1.589 0.056 0.178 0.052 2.887 0.45 35 0.05 12000 1000 1 500 111 1 0 1 4 4 0 0 -1 -1 4534.71413720763
"36" "Simulation_36" 1.841 0.022 0.083 0.107 1.319 0.337 36 0.05 12000 1000 1 500 111 1 0 1 19 19 0 0 -1 -1 5812.25617286227
"37" "Simulation_37" 2.847 0.068 0.211 0.034 2.574 0.79 37 0.05 12000 1000 1 500 111 1 0 1 14 15 1 0 -1 -1 4107.18154002903
"38" "Simulation_38" 2.344 0.045 0.147 0.143 1.946 0.111 38 0.05 12000 1000 1 500 111 1 0 1 1 1 0 0 -1 -1 6339.87158305778
"39" "Simulation_39" 1.338 0.09 0.272 0.071 0.691 0.563 39 0.05 12000 1000 1 500 111 1 0 1 24 25 1 1 0.236293683873036 12 6167.21767078369
"40" "Simulation_40" 1.464 0.017 0.069 0.025 0.848 0.62 40 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 4657.80159374944
"41" "Simulation_41" 2.47 0.062 0.194 0.098 2.103 0.167 41 0.05 12000 1000 1 500 111 1 0 1 1 1 0 0 -1 -1 5144.44452983953
"42" "Simulation_42" 2.972 0.039 0.131 0.062 2.73 0.846 42 0.05 12000 1000 1 500 111 1 0 1 1 2 1 0 -1 -1 3905.10636021508
"43" "Simulation_43" 1.967 0.085 0.258 0.134 1.475 0.394 43 0.05 12000 1000 1 500 111 1 0 1 347 349 2 0 -1 -1 5763.11346156042
"44" "Simulation_44" 1.715 0.051 0.164 0.007 2.417 0.507 44 0.05 12000 1000 1 500 111 1 0 1 85 85 0 1 0.0891311317730042 38 1289.10111549156
"45" "Simulation_45" 2.721 0.096 0.289 0.08 1.162 0.959 45 0.05 12000 1000 1 500 111 1 0 1 1 1 0 1 -1 -1 3920.14160889679
"46" "Simulation_46" 2.218 0.028 0.1 0.043 0.534 0.28 46 0.05 12000 1000 1 500 111 1 0 1 6 6 0 0 -1 -1 6934.86901437697
"47" "Simulation_47" 1.212 0.073 0.225 0.116 1.789 0.733 47 0.05 12000 1000 1 500 111 0 85 1 1508 1508 0 1 0.142353318371273 295 3593.26952235442
"48" "Simulation_48" 1.149 0.031 0.108 0.148 2.966 0.988 48 0.05 12000 1000 1 500 111 1 0 1 1857 1960 103 0 -1 -1 5117.29630778204
"49" "Simulation_49" 2.155 0.076 0.233 0.075 1.711 0.535 49 0.05 12000 1000 1 500 111 1 0 1 5 6 1 0 -1 -1 7396.66435277874
"50" "Simulation_50" 2.658 0.053 0.169 0.112 1.083 0.761 50 0.05 12000 1000 1 500 111 1 0 1 1 1 0 0 -1 -1 7831.80941322771
"51" "Simulation_51" 1.652 0.099 0.297 0.039 2.338 0.309 51 0.05 12000 1000 1 500 111 1 0 1 4 4 0 1 0.176338570054505 2 5037.00260433909
"52" "Simulation_52" 1.904 0.042 0.139 0.13 0.77 0.195 52 0.05 12000 1000 1 500 111 1 0 1 406 426 20 1 0.0625200384738698 143 3263.38936487369
"53" "Simulation_53" 2.91 0.087 0.264 0.057 2.025 0.648 53 0.05 12000 1000 1 500 111 1 0 1 27 27 0 0 -1 -1 5036.92053140709
"54" "Simulation_54" 2.407 0.02 0.078 0.093 2.652 0.422 54 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 1557.0111607966
"55" "Simulation_55" 1.401 0.065 0.203 0.021 1.397 0.874 55 0.05 12000 1000 1 500 111 1 0 1 95 95 0 1 0.143315165117025 36 5241.44323311365
"56" "Simulation_56" 1.275 0.048 0.156 0.048 1.554 0.818 56 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 5300.87561054891
"57" "Simulation_57" 2.281 0.093 0.281 0.121 2.809 0.365 57 0.05 12000 1000 1 500 111 1 0 1 4 4 0 1 0.14972747675537 2 4931.31740648434
"58" "Simulation_58" 2.784 0.025 0.092 0.012 2.181 0.592 58 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 5398.68898769924
"59" "Simulation_59" 1.778 0.07 0.217 0.084 0.926 0.139 59 0.05 12000 1000 1 500 111 1 0 1 14 14 0 1 0.0955434434113498 5 3462.69373497661
"60" "Simulation_60" 1.527 0.014 0.061 0.066 1.868 0.252 60 0.05 12000 1000 1 500 111 1 0 1 22 23 1 0 -1 -1 6001.19662328113
"61" "Simulation_61" 2.532 0.059 0.186 0.139 0.613 0.705 61 0.05 12000 1000 1 500 111 1 0 1 2 2 0 1 0.0814363578069894 2 2885.16564401909
"62" "Simulation_62" 2.029 0.037 0.125 0.03 1.24 0.478 62 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 3890.11096841646
"63" "Simulation_63" 1.024 0.082 0.25 0.103 2.495 0.931 63 0.05 12000 1000 1 500 111 0 135 1 1364 1364 0 1 0.136582237896762 312 2303.79755790664
"64" "Simulation_64" 1.039 0.046 0.15 0.122 1.025 0.882 64 0.05 12000 1000 1 500 111 0 5 1 1534 1614 80 1 0.193972427059955 810 4917.26268786657
"65" "Simulation_65" 2.045 0.091 0.275 0.049 2.279 0.429 65 0.05 12000 1000 1 500 111 1 0 1 205 205 0 0 -1 -1 7350.67495512194
"66" "Simulation_66" 2.548 0.023 0.086 0.085 2.907 0.655 66 0.05 12000 1000 1 500 111 1 0 1 396 398 2 0 -1 -1 7660.22585293906
"67" "Simulation_67" 1.542 0.068 0.211 0.013 1.652 0.203 67 0.05 12000 1000 1 500 111 1 0 1 1 1 0 1 -1 -1 5036.14133650795
"68" "Simulation_68" 1.794 0.012 0.056 0.14 2.593 0.316 68 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 4807.80346289465
"69" "Simulation_69" 2.8 0.057 0.181 0.067 1.338 0.768 69 0.05 12000 1000 1 500 111 1 0 1 20 21 1 0 -1 -1 5582.11990377634
"70" "Simulation_70" 2.297 0.034 0.117 0.104 0.711 0.542 70 0.05 12000 1000 1 500 111 1 0 1 19 19 0 0 -1 -1 6111.42238255193
"71" "Simulation_71" 1.291 0.08 0.244 0.031 1.966 0.995 71 0.05 12000 1000 1 500 111 1 0 1 1 3 2 0 -1 -1 6825.24823022708
"72" "Simulation_72" 1.417 0.029 0.103 0.076 2.123 0.938 72 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 3794.52948719209
"73" "Simulation_73" 2.422 0.074 0.228 0.149 0.868 0.485 73 0.05 12000 1000 1 500 111 1 0 1 64 64 0 1 0.100993908303944 26 6072.58212537549
"74" "Simulation_74" 2.925 0.051 0.164 0.04 1.495 0.712 74 0.05 12000 1000 1 500 111 1 0 1 40 41 1 0 -1 -1 5837.93542085461
"75" "Simulation_75" 1.919 0.097 0.292 0.113 2.75 0.259 75 0.05 12000 1000 1 500 111 1 0 1 4 4 0 1 0.159025328630971 4 4458.42160220797
"76" "Simulation_76" 1.668 0.04 0.133 0.058 1.181 0.146 76 0.05 12000 1000 1 500 111 1 0 1 9 9 0 0 -1 -1 4016.41490496886
"77" "Simulation_77" 2.674 0.085 0.258 0.131 2.436 0.599 77 0.05 12000 1000 1 500 111 1 0 1 4 4 0 1 0.118307149727477 3 4040.80079553536
"78" "Simulation_78" 2.171 0.017 0.069 0.022 1.809 0.372 78 0.05 12000 1000 1 500 111 1 0 1 10 10 0 0 -1 -1 5724.04301212979
"79" "Simulation_79" 1.165 0.063 0.197 0.095 0.554 0.825 79 0.05 12000 1000 1 500 111 1 0 1 3 3 0 1 0.261622314844501 -1 7902.64208473742
"80" "Simulation_80" 1.228 0.02 0.078 0.099 1.73 0.57 80 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 1020.84482208978
"81" "Simulation_81" 2.234 0.066 0.206 0.026 2.985 0.118 81 0.05 12000 1000 1 500 111 1 0 1 1 1 0 0 -1 -1 5174.39830852604
"82" "Simulation_82" 2.737 0.043 0.142 0.136 2.358 0.797 82 0.05 12000 1000 1 500 111 1 0 1 7 7 0 0 -1 -1 4169.44345206007
"83" "Simulation_83" 1.731 0.088 0.267 0.063 1.103 0.344 83 0.05 12000 1000 1 500 111 1 0 1 99 99 0 1 0.138505931388265 18 4198.43624242391
"84" "Simulation_84" 1.982 0.054 0.172 0.081 2.044 0.457 84 0.05 12000 1000 1 500 111 1 0 1 10 10 0 1 0.0904135941006733 6 4809.20185314515
"85" "Simulation_85" 2.988 0.099 0.297 0.008 0.789 0.91 85 0.05 12000 1000 1 500 111 1 0 1 1 1 0 1 -1 -1 3385.93355783978
"86" "Simulation_86" 2.485 0.032 0.111 0.117 1.417 0.231 86 0.05 12000 1000 1 500 111 1 0 1 15 17 2 0 -1 -1 2289.61828623954
"87" "Simulation_87" 1.479 0.077 0.236 0.045 2.672 0.683 87 0.05 12000 1000 1 500 111 1 0 1 350 352 2 0 -1 -1 5878.02974637926
"88" "Simulation_88" 1.354 0.037 0.125 0.017 2.828 0.74 88 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 4422.94119738356
"89" "Simulation_89" 2.36 0.082 0.25 0.09 1.574 0.287 89 0.05 12000 1000 1 500 111 1 0 1 46 46 0 0 -1 -1 2400.65853296772
"90" "Simulation_90" 2.862 0.015 0.064 0.054 0.946 0.966 90 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 4258.29703543473
"91" "Simulation_91" 1.857 0.06 0.189 0.126 2.201 0.514 91 0.05 12000 1000 1 500 111 1 0 1 637 637 0 1 0.109329913433793 226 4716.54876049977
"92" "Simulation_92" 1.605 0.026 0.094 0.035 0.632 0.401 92 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 3717.92315279153
"93" "Simulation_93" 2.611 0.071 0.219 0.108 1.887 0.853 93 0.05 12000 1000 1 500 111 1 0 1 8 8 0 1 0.10612375761462 7 2656.40419965295
"94" "Simulation_94" 2.108 0.049 0.158 0.072 2.515 0.174 94 0.05 12000 1000 1 500 111 1 0 1 3 3 0 1 0.0480923372875922 2 3573.17404002522
"95" "Simulation_95" 1.102 0.094 0.283 0.145 1.26 0.627 95 0.05 12000 1000 1 500 111 0 47 1 1626 1626 0 1 0.207438281500481 384 5946.7445245545
"96" "Simulation_96" 1.071 0.022 0.083 0.056 1.77 0.528 96 0.05 12000 1000 1 500 111 0 98 1 2238 2238 0 1 0.0359089451747355 125 3400.49845123946
"97" "Simulation_97" 2.077 0.067 0.208 0.129 0.515 0.981 97 0.05 12000 1000 1 500 111 1 0 1 1 1 0 1 -1 -1 4384.62337493095
"98" "Simulation_98" 2.58 0.044 0.144 0.02 1.142 0.302 98 0.05 12000 1000 1 500 111 1 0 1 64 64 0 1 0.0650849631292081 24 3510.16854057275
"99" "Simulation_99" 1.574 0.09 0.272 0.092 2.397 0.754 99 0.05 12000 1000 1 500 111 1 0 1 15 15 0 0 -1 -1 7921.22256132685
"100" "Simulation_100" 1.825 0.033 0.114 0.074 1.456 0.641 100 0.05 12000 1000 1 500 111 1 0 1 622 651 29 1 0.0496954151971786 557 2695.00310964363
"101" "Simulation_101" 2.831 0.078 0.239 0.147 2.711 0.188 101 0.05 12000 1000 1 500 111 1 0 1 1 1 0 1 -1 -1 4917.26268786657
"102" "Simulation_102" 2.328 0.01 0.05 0.038 2.083 0.867 102 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 3345.76631375787
"103" "Simulation_103" 1.322 0.056 0.178 0.11 0.828 0.415 103 0.05 12000 1000 1 500 111 0 83 1 1557 1561 4 1 0.184353959602437 404 2428.27182808606
"104" "Simulation_104" 1.448 0.05 0.161 0.138 0.672 0.358 104 0.05 12000 1000 1 500 111 0 3 1 1828 1842 14 0 -1 -1 6448.11035592007
"105" "Simulation_105" 2.454 0.095 0.286 0.065 1.926 0.811 105 0.05 12000 1000 1 500 111 1 0 1 45 47 2 1 0.138826546970183 21 4266.27359945795
"106" "Simulation_106" 2.957 0.027 0.097 0.101 2.554 0.132 106 0.05 12000 1000 1 500 111 1 0 1 16 16 0 0 -1 -1 6299.47562750211
"107" "Simulation_107" 1.951 0.073 0.225 0.029 1.299 0.584 107 0.05 12000 1000 1 500 111 1 0 1 116 117 1 1 0.105161910868868 38 3576.09609221523
"108" "Simulation_108" 1.699 0.016 0.067 0.12 2.868 0.698 108 0.05 12000 1000 1 500 111 1 0 1 4 5 1 0 -1 -1 3908.25673892299
"109" "Simulation_109" 2.705 0.061 0.192 0.047 1.613 0.245 109 0.05 12000 1000 1 500 111 1 0 1 10 11 1 0 -1 -1 4600.50027272025
"110" "Simulation_110" 2.202 0.039 0.131 0.083 0.985 0.924 110 0.05 12000 1000 1 500 111 1 0 1 1 1 0 0 -1 -1 6105.73753458968
"111" "Simulation_111" 1.196 0.084 0.256 0.01 2.24 0.471 111 0.05 12000 1000 1 500 111 1 0 1 266 266 0 1 0.12023084321898 84 2585.33302031035
"112" "Simulation_112" 1.134 0.041 0.136 0.033 2.475 0.217 112 0.05 12000 1000 1 500 111 1 0 1 1 1 0 0 -1 -1 4628.04812374072
"113" "Simulation_113" 2.139 0.087 0.264 0.106 1.221 0.669 113 0.05 12000 1000 1 500 111 1 0 1 1 1 0 0 -1 -1 7592.44514770233
"114" "Simulation_114" 2.642 0.019 0.075 0.07 0.593 0.443 114 0.05 12000 1000 1 500 111 1 0 1 2 2 0 1 0.0221224751522924 2 5457.09475070226
"115" "Simulation_115" 1.637 0.064 0.2 0.142 1.848 0.896 115 0.05 12000 1000 1 500 111 0 51 1 1544 1544 0 0 -1 -1 3574.52811481526
"116" "Simulation_116" 1.888 0.03 0.106 0.015 0.907 0.783 116 0.05 12000 1000 1 500 111 1 0 1 25 25 0 0 -1 -1 7461.06626354602
"117" "Simulation_117" 2.894 0.075 0.231 0.088 2.162 0.33 117 0.05 12000 1000 1 500 111 1 0 1 1 1 0 1 -1 -1 4914.65066317811
"118" "Simulation_118" 2.391 0.053 0.169 0.051 2.789 0.556 118 0.05 12000 1000 1 500 111 1 0 1 367 376 9 0 -1 -1 5178.64858844378
"119" "Simulation_119" 1.385 0.098 0.294 0.124 1.534 0.104 119 0.05 12000 1000 1 500 111 1 0 1 1 1 0 1 -1 -1 5145.8419511955
"120" "Simulation_120" 1.259 0.013 0.058 0.079 1.377 0.16 120 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 6057.48014840839
"121" "Simulation_121" 2.265 0.058 0.183 0.006 2.632 0.613 121 0.05 12000 1000 1 500 111 1 0 1 42 42 0 1 0.103238217377365 24 4914.65066317811
"122" "Simulation_122" 2.768 0.036 0.122 0.115 2.005 0.386 122 0.05 12000 1000 1 500 111 1 0 1 8 8 0 1 0.0381532542481565 4 2380.98823344241
"123" "Simulation_123" 1.762 0.081 0.247 0.042 0.75 0.839 123 0.05 12000 1000 1 500 111 1 0 1 1 1 0 1 -1 -1 2785.78573149783
"124" "Simulation_124" 1.511 0.047 0.153 0.097 2.319 0.952 124 0.05 12000 1000 1 500 111 1 0 1 392 393 1 0 -1 -1 6328.12773694465
"125" "Simulation_125" 2.517 0.092 0.278 0.024 1.064 0.5 125 0.05 12000 1000 1 500 111 1 0 1 16 16 0 1 0.174414876563001 14 5234.08338521426
"126" "Simulation_126" 2.014 0.024 0.089 0.133 1.691 0.726 126 0.05 12000 1000 1 500 111 1 0 1 76 82 6 0 -1 -1 4987.62739868842
"127" "Simulation_127" 1.008 0.07 0.217 0.06 2.946 0.273 127 0.05 12000 1000 1 500 111 1 0 1 15 16 1 1 0.098108368066688 15 5122.02776444089
"128" "Simulation_128" 1.016 0.04 0.133 0.142 1.662 0.475 128 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 2342.6280633011
"129" "Simulation_129" 2.022 0.085 0.258 0.069 2.917 0.928 129 0.05 12000 1000 1 500 111 1 0 1 87 87 0 1 0.134658544405258 17 2022.32192877058
"130" "Simulation_130" 2.525 0.017 0.069 0.105 2.289 0.249 130 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 4839.41781898048
"131" "Simulation_131" 1.519 0.062 0.194 0.033 1.034 0.701 131 0.05 12000 1000 1 500 111 1 0 1 270 270 0 0 -1 -1 6166.58477689299
"132" "Simulation_132" 1.77 0.028 0.1 0.124 1.975 0.588 132 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 4945.18671954035
"133" "Simulation_133" 2.776 0.074 0.228 0.051 0.721 0.135 133 0.05 12000 1000 1 500 111 1 0 1 45 45 0 1 0.0663674254568772 15 4778.06636208747
"134" "Simulation_134" 2.273 0.051 0.164 0.087 1.348 0.814 134 0.05 12000 1000 1 500 111 1 0 1 15 15 0 1 0.0763065084963129 8 4595.56611900431
"135" "Simulation_135" 1.267 0.096 0.289 0.014 2.603 0.362 135 0.05 12000 1000 1 500 111 1 0 1 2 3 1 0 -1 -1 5216.17672516981
"136" "Simulation_136" 1.393 0.011 0.053 0.042 2.76 0.418 136 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 4182.3671947117
"137" "Simulation_137" 2.399 0.057 0.181 0.114 1.505 0.871 137 0.05 12000 1000 1 500 111 1 0 1 21 21 0 1 0.0974671369028535 9 2028.42197614739
"138" "Simulation_138" 2.902 0.034 0.117 0.005 0.877 0.192 138 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 2739.91964045102
"139" "Simulation_139" 1.896 0.079 0.242 0.078 2.132 0.645 139 0.05 12000 1000 1 500 111 1 0 1 28 31 3 1 0.103238217377365 7 3762.52635868535
"140" "Simulation_140" 1.644 0.045 0.147 0.06 0.564 0.758 140 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 4861.62155471669
"141" "Simulation_141" 2.65 0.091 0.275 0.133 1.819 0.305 141 0.05 12000 1000 1 500 111 1 0 1 2 2 0 1 0.146841936518115 -1 2850.4485719714
"142" "Simulation_142" 2.147 0.023 0.086 0.023 2.446 0.984 142 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 5797.98236138618
"143" "Simulation_143" 1.141 0.068 0.211 0.096 1.191 0.531 143 0.05 12000 1000 1 500 111 0 110 1 1547 1547 0 1 0.144277011862777 279 3373.96630174083
"144" "Simulation_144" 1.204 0.026 0.094 0.092 1.113 0.277 144 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 4610.54112009052
"145" "Simulation_145" 2.21 0.071 0.219 0.019 2.368 0.729 145 0.05 12000 1000 1 500 111 1 0 1 14 14 0 1 0.10612375761462 6 5446.39585511254
"146" "Simulation_146" 2.713 0.048 0.156 0.128 2.995 0.503 146 0.05 12000 1000 1 500 111 1 0 1 2 2 0 1 0.0833600512984931 2 3575.82645200018
"147" "Simulation_147" 1.707 0.093 0.281 0.055 1.74 0.956 147 0.05 12000 1000 1 500 111 1 0 1 13 13 0 1 0.149406861173453 6 1865.11720057351
"148" "Simulation_148" 1.959 0.037 0.125 0.11 2.681 0.843 148 0.05 12000 1000 1 500 111 1 0 1 3 3 0 0 -1 -1 7852.79692805425
"149" "Simulation_149" 2.965 0.082 0.25 0.037 1.426 0.39 149 0.05 12000 1000 1 500 111 1 0 1 3 3 0 1 0.149406861173453 2 1576.8203279772
"150" "Simulation_150" 2.462 0.014 0.061 0.146 0.799 0.616 150 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 6199.04816619277
"151" "Simulation_151" 1.456 0.06 0.189 0.074 2.054 0.164 151 0.05 12000 1000 1 500 111 1 0 1 8 8 0 1 0.124078230201988 4 1825.93669244668
"152" "Simulation_152" 1.33 0.054 0.172 0.028 2.211 0.107 152 0.05 12000 1000 1 500 111 1 0 1 1 1 0 0 -1 -1 6715.61562636649
"153" "Simulation_153" 2.336 0.099 0.297 0.101 0.956 0.56 153 0.05 12000 1000 1 500 111 1 0 1 8 8 0 1 0.228919525488939 3 5747.82590017025
"154" "Simulation_154" 2.839 0.031 0.108 0.064 1.583 0.333 154 0.05 12000 1000 1 500 111 1 0 1 31 32 1 0 -1 -1 5272.38784733745
"155" "Simulation_155" 1.833 0.076 0.233 0.137 2.838 0.786 155 0.05 12000 1000 1 500 111 1 0 1 38 38 0 1 0.120551458800898 11 3495.60364717306
"156" "Simulation_156" 1.582 0.02 0.078 0.01 1.27 0.899 156 0.05 12000 1000 1 500 111 1 0 1 17 20 3 0 -1 -1 5991.48438794968
"157" "Simulation_157" 2.587 0.065 0.203 0.083 2.525 0.447 157 0.05 12000 1000 1 500 111 1 0 1 5 5 0 1 0.0836806668804104 3 6226.91057017567
"158" "Simulation_158" 2.084 0.043 0.142 0.046 1.897 0.673 158 0.05 12000 1000 1 500 111 1 0 1 16 19 3 0 -1 -1 4738.48519312558
"159" "Simulation_159" 1.079 0.088 0.267 0.119 0.642 0.22 159 0.05 12000 1000 1 500 111 1 0 1 2 2 0 0 -1 -1 6715.61562636649
"160" "Simulation_160" 1.11 0.016 0.067 0.062 2.407 0.828 160 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 5355.9891813182
"161" "Simulation_161" 2.116 0.061 0.192 0.135 1.152 0.376 161 0.05 12000 1000 1 500 111 1 0 1 14 14 0 0 -1 -1 7096.81979674531
"162" "Simulation_162" 2.619 0.038 0.128 0.026 0.525 0.602 162 0.05 12000 1000 1 500 111 1 0 1 1 1 0 1 -1 -1 3623.48719510624
